"PROCREACION ASISTIDA, INSEMINACION ARTIFICIAL Y ESTERILIZACION FORZADA",danger of well-being
PRIVACIÓN DE LA LIBERTAD PERSONAL ( SI LIBERA DENTRO DE 24 HORAS),danger of well-being
VIOLACION A LOS DERECHOS HUMANOS,danger of well-being
ROBO DE INFANTE,danger of well-being
DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL,property damage
DAÑO EN PROPIEDAD AJENA INTENCIONAL,property damage
DAÑO EN PROPIEDAD AJENA CULPOSA,property damage
DAÑO EN PROPIEDAD AJENA INTENCIONAL A AUTOMOVIL,property damage
DAÑO EN PROPIEDAD AJENA INTENCIONAL A CASA HABITACION,property damage
DAÑO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES,property damage
DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A BIENES INMUEBLES,property damage
DAÑO EN PROPIEDAD AJENA INTENCIONAL A NEGOCIO,property damage
DAÑO EN PROPIEDAD AJENA INTENCIONAL A VIAS DE COMUNICACION,property damage
DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A VIAS DE COMUNICACION,property damage
ATAQUE A LAS VIAS DE COMUNICACION (DAÑO A VIAS O MEDIOS DE TRANSPORTE),property damage
PERDIDA DE LA VIDA POR OTRAS CAUSAS,homicide
HOMICIDIO POR ARMA DE FUEGO,homicide
HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (COLISION),homicide
HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (ATROPELLADO),homicide
PERDIDA DE LA VIDA POR CAIDA,homicide
HOMICIDIO POR ARMA BLANCA,homicide
HOMICIDIO POR GOLPES,homicide
HOMICIDIOS INTENCIONALES (OTROS),homicide
HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR (CAIDA),homicide
FEMINICIDIO,homicide
HOMICIDIO CULPOSO POR TRÁNSITO VEHICULAR,homicide
FEMINICIDIO POR ARMA BLANCA,homicide
DESAPARICION FORZADA DE PERSONAS,homicide
HOMICIDIO CULPOSO CON EXCLUYENTES DE RESPONSABILIDAD,homicide
FEMINICIDIO POR DISPARO DE ARMA DE FUEGO,homicide
HOMICIDIO CULPOSO POR ARMA DE FUEGO,homicide
FEMINICIDIO POR GOLPES,homicide
HOMICIDIO CULPOSO,homicide
HOMICIDIO POR AHORCAMIENTO,homicide
HOMICIDIO POR INMERSION,homicide
HOMICIDIO CULPOSO POR INSTRUMENTO PUNZO CORTANTE,homicide
PERDIDA DE LA VIDA POR SUICIDIO,ignore
PERDIDA DE LA VIDA POR ENFERMEDAD,ignore
PERDIDA DE LA VIDA POR PARO CARDIACO,ignore
DESOBEDIENCIA Y RESISTENCIA DE PARTICULARES,ignore
DENUNCIA DE HECHOS,ignore
TENTATIVA DE SUICIDIO,ignore
DESOBEDENCIA DE PARTICULARES,ignore
PERDIDA DE LA VIDA POR QUEMADURA,ignore
DELITOS AMBIENTALES,ignore
PERDIDA DE LA VIDA POR INTOXICACION,ignore
PELIGRO DE CONTAGIO,ignore
PERDIDA DE LA VIDA POR PRECIPITACION,ignore
PERDIDA DE LA VIDA POR SUICIDIO EN EL METRO,ignore
PERDIDA DE LA VIDA POR ACCIDENTE LABORAL,ignore
PERDIDA DE LA VIDA POR AHOGAMIENTO,ignore
CONTAMINACIÓN O RESIDUOS,ignore
PERDIDA DE LA VIDA POR CONGESTION ALCOHOLICA,ignore
GESTIÓN AMBIENTAL,ignore
TALA,ignore
"DAÑO SUELO (ACTIVIDAD, INVASIÓN O EXTRACCIÓN)",ignore
PERDIDA DE LA VIDA POR DERRUMBE,ignore
PERDIDA DE LA VIDA ASFIXIA POR ALIMENTOS/ LIQUIDOS,ignore
CONTRA LA LEY FEDERAL DE POBLACION,ignore
PERDIDA DE LA VIDA POR ASFIXIA,ignore
BIGAMIA,ignore
EVASION DE PRESOS,ignore
HOMICIDIO CULPOSO FUERA DEL D.F (ATROPELLADO),ignore
EJERCICIO INDEBIDO DEL PROPIO DER.,ignore
HOMICIDIO CULPOSO FUERA DEL D.F (COLISION),ignore
OPOSICION A QUE SE EJECUTE ALGUNA OBRA O TRABAJO PUBLICOS,ignore
OTROS AMBIENTALES,ignore
COALICIÓN DE SERVIDORES PÚBLICOS,ignore
REGULACIÓN URBANA,ignore
"PANDILLA, ASOCIACIÓN DELICTUOSA Y DELINCUENCIA ORGANIZADA",ignore
OTROS DELITOS,ignore
PERDIDA DE LA VIDA POR ENVENENAMIENTO,ignore
UTILIZACION INDEBIDA DE LA VIA PUBLICA,ignore
DELITOS CONTRA LA SALUD,ignore
